harm_one,harm_two,harm_three,harm_four,harm_five,label
0.409972393,0.260472537,0.230748757,0.084533775,0.014272539,0
0.336729726,0.36954596,0.142700042,0.084085032,0.066939239,0
0.298247223,0.454187831,0.12189007,0.045441711,0.080233166,0
0.281130037,0.452330365,0.115088687,0.075685089,0.075765822,0
0.303831382,0.435869165,0.091975423,0.111722681,0.056601349,0
0.290037629,0.474072444,0.0522967,0.132071836,0.051521391,0
0.333434235,0.426915461,0.042986822,0.151163471,0.045500012,0
0.388604264,0.350084786,0.071555453,0.161450217,0.02830528,0
0.337239307,0.345483808,0.113831866,0.18482858,0.018616439,0
0.432914516,0.276703532,0.126124031,0.151118165,0.013139756,0
0.474082929,0.23602972,0.154888011,0.123659853,0.011339488,0
0.414148547,0.165511397,0.243006268,0.14180511,0.035528678,0
0.333496389,0.305109446,0.21007948,0.128397523,0.022917162,0
0.351686273,0.283228697,0.219381782,0.12105073,0.024652517999999998,0
0.447600338,0.208941106,0.199103817,0.112335966,0.032018773,0
0.441604876,0.275807382,0.176589303,0.080663496,0.025334944,0
0.57417279,0.167578457,0.164395605,0.067413035,0.026440112,0
0.59309684,0.198445062,0.142214743,0.044126542,0.022116813,0
0.58594211,0.192528784,0.132865483,0.068247947,0.020415676,0
0.735673385,0.024504443,0.12212173,0.105916218,0.011784224,0
0.404076,0.274088961,0.110916462,0.14666995,0.064248626,0
0.38663527600000003,0.331403092,0.132575063,0.069313128,0.080073442,0
0.334065624,0.407774934,0.12441376,0.059590116,0.074155566,0
0.270341532,0.435595459,0.116786525,0.100816476,0.076460008,0
0.321941976,0.41480793,0.084872371,0.115428219,0.062949504,0
0.416131109,0.36246266,0.054714106,0.117176048,0.049516078,0
0.42942161,0.328949793,0.049353106,0.151406681,0.040868811,0
0.467588041,0.263899403,0.058307616,0.178028811,0.03217613,0
0.418103519,0.261382241,0.106719199,0.189377616,0.024417425,0
0.434544167,0.170712554,0.188737156,0.174007756,0.031998367,0
0.419649151,0.138348096,0.26845684,0.146223542,0.027322371,0
0.386125774,0.158370918,0.279127704,0.171089365,0.00528624,0
0.406739175,0.125192923,0.29942435,0.161791982,0.00685157,0
0.413886227,0.144282726,0.304295733,0.126432571,0.011102744,0
0.337879997,0.25901294,0.291049438,0.102534905,0.009522719,0
0.374853212,0.235584127,0.29107227,0.08941989,0.009070501,0
0.481135671,0.160305109,0.271944003,0.078163465,0.008451752,0
0.497810813,0.193870793,0.236345414,0.060748029,0.011224952,0
0.534806248,0.184481802,0.196931842,0.071337314,0.012442794,0
0.519606153,0.189334335,0.15587699,0.092619272,0.04256325,0
0.34849991,0.34076069,0.15689824,0.07373084,0.08011032,0
